[2026-06-02 22:38:25] Recording Started
[2026-06-02 22:38:35] Recording | 0.00 h | 0.31 MB | 313 packets
[2026-06-02 22:38:45] Recording | 0.01 h | 0.61 MB | 627 packets
[2026-06-02 22:38:55] Recording | 0.01 h | 0.92 MB | 941 packets
[2026-06-02 22:39:05] Recording | 0.01 h | 1.23 MB | 1255 packets
[2026-06-02 22:39:15] Recording | 0.01 h | 1.50 MB | 1540 packets
[2026-06-02 22:39:26] Recording | 0.02 h | 1.83 MB | 1877 packets
[2026-06-02 22:39:36] Recording | 0.02 h | 2.14 MB | 2191 packets
[2026-06-02 22:39:46] Recording | 0.02 h | 2.45 MB | 2505 packets
[2026-06-02 22:39:56] Recording | 0.03 h | 2.74 MB | 2813 packets
[2026-06-02 22:40:07] Recording | 0.03 h | 3.08 MB | 3154 packets
[2026-06-02 22:40:17] Recording | 0.03 h | 3.38 MB | 3468 packets
[2026-06-02 22:40:27] Recording | 0.03 h | 3.69 MB | 3782 packets
[2026-06-02 22:40:37] Recording | 0.04 h | 4.00 MB | 4096 packets
[2026-06-02 22:40:47] Recording | 0.04 h | 4.30 MB | 4410 packets
[2026-06-02 22:40:57] Recording | 0.04 h | 4.61 MB | 4724 packets
[2026-06-02 22:41:07] Recording | 0.04 h | 4.92 MB | 5038 packets
[2026-06-02 22:41:17] Recording | 0.05 h | 5.22 MB | 5352 packets
[2026-06-02 22:41:27] Recording | 0.05 h | 5.53 MB | 5666 packets
[2026-06-02 22:41:37] Recording | 0.05 h | 5.84 MB | 5980 packets
[2026-06-02 22:41:47] Recording | 0.06 h | 6.14 MB | 6293 packets
[2026-06-02 22:41:57] Recording | 0.06 h | 6.45 MB | 6607 packets
[2026-06-02 22:42:07] Recording | 0.06 h | 6.76 MB | 6921 packets
[2026-06-02 22:42:17] Recording | 0.06 h | 7.06 MB | 7235 packets
[2026-06-02 22:42:27] Recording | 0.07 h | 7.37 MB | 7549 packets
[2026-06-02 22:42:37] Recording | 0.07 h | 7.67 MB | 7863 packets
[2026-06-02 22:42:47] Recording | 0.07 h | 7.98 MB | 8177 packets
[2026-06-02 22:42:57] Recording | 0.08 h | 8.29 MB | 8491 packets
[2026-06-02 22:43:07] Recording | 0.08 h | 8.59 MB | 8805 packets
[2026-06-02 22:43:17] Recording | 0.08 h | 8.90 MB | 9118 packets
[2026-06-02 22:43:27] Recording | 0.08 h | 9.21 MB | 9431 packets
[2026-06-02 22:43:37] Recording | 0.09 h | 9.51 MB | 9745 packets
[2026-06-02 22:43:48] Recording | 0.09 h | 9.82 MB | 10059 packets
[2026-06-02 22:43:58] Recording | 0.09 h | 10.13 MB | 10373 packets
[2026-06-02 22:44:08] Recording | 0.10 h | 10.43 MB | 10687 packets
[2026-06-02 22:44:18] Recording | 0.10 h | 10.74 MB | 11001 packets
[2026-06-02 22:44:28] Recording | 0.10 h | 11.05 MB | 11315 packets
[2026-06-02 22:44:38] Recording | 0.10 h | 11.35 MB | 11629 packets
[2026-06-02 22:44:48] Recording | 0.11 h | 11.66 MB | 11943 packets
[2026-06-02 22:44:58] Recording | 0.11 h | 11.97 MB | 12257 packets
[2026-06-02 22:45:08] Recording | 0.11 h | 12.27 MB | 12571 packets
[2026-06-02 22:45:18] Recording | 0.11 h | 12.58 MB | 12885 packets
[2026-06-02 22:45:28] Recording | 0.12 h | 12.89 MB | 13199 packets
[2026-06-02 22:45:38] Recording | 0.12 h | 13.19 MB | 13513 packets
[2026-06-02 22:45:48] Recording | 0.12 h | 13.50 MB | 13827 packets
[2026-06-02 22:45:58] Recording | 0.13 h | 13.81 MB | 14141 packets
[2026-06-02 22:46:08] Recording | 0.13 h | 14.11 MB | 14455 packets
[2026-06-02 22:46:18] Recording | 0.13 h | 14.42 MB | 14769 packets
[2026-06-02 22:46:28] Recording | 0.13 h | 14.73 MB | 15083 packets
[2026-06-02 22:46:38] Recording | 0.14 h | 15.03 MB | 15397 packets
[2026-06-02 22:46:48] Recording | 0.14 h | 15.34 MB | 15711 packets
[2026-06-02 22:46:58] Recording | 0.14 h | 15.65 MB | 16025 packets
[2026-06-02 22:47:09] Recording | 0.15 h | 15.95 MB | 16339 packets
[2026-06-02 22:47:19] Recording | 0.15 h | 16.26 MB | 16653 packets
[2026-06-02 22:47:29] Recording | 0.15 h | 16.57 MB | 16967 packets
[2026-06-02 22:47:39] Recording | 0.15 h | 16.87 MB | 17281 packets
[2026-06-02 22:47:49] Recording | 0.16 h | 17.18 MB | 17595 packets
[2026-06-02 22:47:59] Recording | 0.16 h | 17.49 MB | 17909 packets
[2026-06-02 22:48:09] Recording | 0.16 h | 17.79 MB | 18223 packets
[2026-06-02 22:48:19] Recording | 0.16 h | 18.10 MB | 18537 packets
[2026-06-02 22:48:29] Recording | 0.17 h | 18.40 MB | 18849 packets
[2026-06-02 22:48:39] Recording | 0.17 h | 18.71 MB | 19163 packets
[2026-06-02 22:48:49] Recording | 0.17 h | 19.02 MB | 19477 packets
[2026-06-02 22:48:59] Recording | 0.18 h | 19.32 MB | 19791 packets
[2026-06-02 22:49:09] Recording | 0.18 h | 19.63 MB | 20105 packets
[2026-06-02 22:49:19] Recording | 0.18 h | 19.94 MB | 20419 packets
[2026-06-02 22:49:29] Recording | 0.18 h | 20.24 MB | 20733 packets
[2026-06-02 22:49:39] Recording | 0.19 h | 20.55 MB | 21047 packets
[2026-06-02 22:49:49] Recording | 0.19 h | 20.86 MB | 21361 packets
[2026-06-02 22:49:59] Recording | 0.19 h | 21.16 MB | 21675 packets
[2026-06-02 22:50:09] Recording | 0.20 h | 21.47 MB | 21989 packets
[2026-06-02 22:50:19] Recording | 0.20 h | 21.78 MB | 22303 packets
[2026-06-02 22:50:29] Recording | 0.20 h | 22.08 MB | 22617 packets
[2026-06-02 22:50:39] Recording | 0.20 h | 22.39 MB | 22931 packets
[2026-06-02 22:50:49] Recording | 0.21 h | 22.69 MB | 23243 packets
[2026-06-02 22:51:00] Recording | 0.21 h | 23.00 MB | 23557 packets
[2026-06-02 22:51:10] Recording | 0.21 h | 23.31 MB | 23871 packets
[2026-06-02 22:51:20] Recording | 0.22 h | 23.61 MB | 24185 packets
[2026-06-02 22:51:30] Recording | 0.22 h | 23.92 MB | 24499 packets
[2026-06-02 22:51:40] Recording | 0.22 h | 24.23 MB | 24813 packets
[2026-06-02 22:51:50] Recording | 0.22 h | 24.53 MB | 25127 packets
[2026-06-02 22:52:00] Recording | 0.23 h | 24.84 MB | 25441 packets
